ÀÏ½Ã,Æò±Õ±â¿Â,°­¼ö·®,Æò±Õ½Àµµ,Æò±ÕÇ³¼Ó
2013-01-01,-4.7,3.1,73.5,3.2
2013-01-02,-11.7,,40.8,4.2
2013-01-03,-13.2,,42.8,2.8
2013-01-04,-10.7,,44.3,1.8
2013-01-05,-7,,59.4,2.3
2013-01-06,-6.3,,59.4,1.9
2013-01-07,-5.1,,53.6,1.7
2013-01-08,-4.6,,53.4,2.2
2013-01-09,-9,,38.5,3
2013-01-10,-8.3,,41.3,2.3
2013-01-11,-3.2,0,50.5,2.3
2013-01-12,0,0.1,70,2.5
2013-01-13,-0.5,,65.6,1.6
2013-01-14,-2.1,,61.6,2.2
2013-01-15,-2.1,,57,2
2013-01-16,-2.6,0.3,64.1,2.4
2013-01-17,-5.8,,62.9,2.8
2013-01-18,-4.4,,51.9,2
2013-01-19,0.5,,59.9,2
2013-01-20,1.6,,55.8,3.1
2013-01-21,2.2,16.5,83.6,4.3
2013-01-22,3.8,0.5,74.3,2.2
2013-01-23,1.8,1.5,80.4,3.1
2013-01-24,-0.9,0.1,57.6,4.3
2013-01-25,-9.1,,37.5,4.7
2013-01-26,-9.2,,37,3.5
2013-01-27,-7.3,,44.9,2.6
2013-01-28,-3.5,,56,2.1
2013-01-29,2.2,0,63.5,2.7
2013-01-30,5.4,,68.8,2.1
2013-01-31,7.4,0,59.5,2.9
2013-02-01,7.3,46.5,85.8,3.7
2013-02-02,-1.1,,52.1,4.1
2013-02-03,-3.2,7.5,62.3,2.7
2013-02-04,-0.8,7.4,77.1,2.6
2013-02-05,-0.6,4.5,77,2.4
2013-02-06,-1.5,2.1,75,3.3
2013-02-07,-11.1,0,42.5,5.5
2013-02-08,-11.5,,39.3,2.7
2013-02-09,-7.2,,55.5,1.8
2013-02-10,-4,1.2,56.6,2.9
2013-02-11,-5.8,,41.8,2.1
2013-02-12,-3.8,0,55.6,2.3
2013-02-13,-1.3,,59.6,2
2013-02-14,1.1,,60.1,2.3
2013-02-15,-1.2,,48.4,3.9
2013-02-16,-2.6,,38.8,2.1
2013-02-17,2.3,0,44.5,2.5
2013-02-18,0.5,,49.8,3.5
2013-02-19,-2.9,,27.5,4
2013-02-20,-4.8,,35.3,2.6
2013-02-21,-1.7,0,49,2.5
2013-02-22,0.5,3.9,57.1,3.1
2013-02-23,-0.9,,45.9,3.7
2013-02-24,1.4,,42.4,2.2
2013-02-25,3.3,,39.4,1.7
2013-02-26,4.8,0,56.4,2.6
2013-02-27,3.4,,69.5,3
2013-02-28,6.7,1,57.3,2.9
2013-03-01,0.8,3,56.1,4.8
2013-03-02,-0.8,,42.6,3.2
2013-03-03,0.4,,50.3,2.9
2013-03-04,3.1,,58.6,2.8
2013-03-05,3.7,,51.8,3
2013-03-06,7.9,,43.1,2.2
2013-03-07,8,0.5,74.1,3.7
2013-03-08,8.5,,66,2.7
2013-03-09,13.2,,48.8,4.3
2013-03-10,1.2,,32.5,5
2013-03-11,4.2,,33.4,2.2
2013-03-12,7.5,3.5,60.4,2.1
2013-03-13,5.2,11.5,64.5,3.6
2013-03-14,4.1,,48.9,2.9
2013-03-15,4.6,,43.4,2.4
2013-03-16,6.3,,53.6,2.3
2013-03-17,8.2,7.5,57.5,2.9
2013-03-18,8.3,1,73,3.3
2013-03-19,8,,61.1,2.2
2013-03-20,2.8,0.1,51.9,4.3
2013-03-21,1.5,,34.3,2.5
2013-03-22,3.4,,61.6,2.3
2013-03-23,5.4,,39,2.3
2013-03-24,5.1,,47.4,3.9
2013-03-25,2.8,,40.3,3.8
2013-03-26,4.4,,39.9,2.5
2013-03-27,7.5,,30.1,2.8
2013-03-28,7.3,,42.1,2.7
2013-03-29,5.4,,28.6,3.4
2013-03-30,4.9,0.2,43.1,2.3
2013-03-31,6.3,,46.4,2.7
2013-04-01,9.2,0.5,44.5,2.2
2013-04-02,7.2,8.5,86.1,2.7
2013-04-03,7.9,,64,2.6
2013-04-04,12.6,,44.5,1.9
2013-04-05,14.6,,42.1,2.6
2013-04-06,7.5,14,84.4,2.9
2013-04-07,5.1,1,57.3,4.4
2013-04-08,8,1,55.1,4
2013-04-09,6.2,0.5,50.8,5.1
2013-04-10,5,1.5,49.3,4.1
2013-04-11,5.5,0.5,54.5,4.9
2013-04-12,6.9,,42.6,3.7
2013-04-13,11.4,,38.6,4.5
2013-04-14,8.3,3.5,40.4,4.7
2013-04-15,7.5,,31.5,2
2013-04-16,13.2,,54.5,4.4
2013-04-17,14.8,,62.3,2.9
2013-04-18,12.3,,37.4,4
2013-04-19,9.8,,27,3.2
2013-04-20,6.6,9.5,70.8,2.3
2013-04-21,9,,58.8,3.3
2013-04-22,11.4,,43.8,2.5
2013-04-23,11.2,5.5,59.3,2.7
2013-04-24,12.3,0.1,67,3.7
2013-04-25,9.3,4.5,78.9,3.3
2013-04-26,11.7,0.1,55,3.6
